rank,team,run_id,model,model_type,f1_score,accuracy,submission_date
1,samuel,run_01,SAGEConv,human,0.9802816901408451,0.9807692307692307,2026-03-07 06:00:05
2,Murad,run_20260323_150826,ImprovedGNN_GATv2_CPU,human,0.978240302743614,0.9789377289377289,2026-03-23 15:14:43
3,AIkram,run_1,GAT,human,0.9765258215962441,0.9771062271062271,2026-03-19 14:48:06
4,Muhammad_Isah,run_01,SAGEGNN,human,0.9752851711026616,0.9761904761904762,2026-03-14 12:47:14
5,tasneem,run_1,GCN,human,0.9727699530516432,0.9734432234432234,2026-03-12 05:57:49
6,sanae,run_01,SAGEConv,human,0.958217270194986,0.9587912087912088,2026-03-06 21:06:50
7,Sargam_Goyal,01,BiGCN,human,0.9516864175022789,0.9514652014652014,2026-03-18 07:27:31
8,idrees_Bhat,run_01,GAT,human,0.9447513812154696,0.945054945054945,2026-03-14 09:00:03
9,Elhouiti_Ikram,run_01,GAT,human,0.9416058394160584,0.9413919413919414,2026-03-07 01:03:21
10,Abderrahmane Kasmi,run_01,GCN,human,0.90371782650143,0.9075091575091575,2026-03-04 15:11:47
11,noha_test,run40,GAT,human,0.7071290944123314,0.7216117216117216,2026-03-27 01:19:12
